재료 ID	요리 영어 이름	재료 이름	재료 가격	재료 설명
ingredientID	cookEngName	ingredientName	ingredientPrice	ingredientDescription
int	enum	string	string	string
3001	Garlic	마늘	100	강렬한 향이 입안을 자극한다.
3002	Oil	기름	100	불맛의 비밀을 품고 있다.
3003	Water	물	100	모든 조리의 시작이자 끝.
3004	Bread	빵	100	부드럽고 포만감을 주는 기본 식사.
3005	Tofu	두부	100	담백함 속에 숨은 힘.
3006	Noddle	면	100	부드럽게 이어지는 한 가닥의 맛.
3007	Herb	허브	100	한 꼬집의 향이 요리를 바꾼다.
3008	Meat	고기	100	힘과 열정을 담은 단백질.
3009	Onion	양파	100	단맛과 매운맛이 공존한다.
3010	Potato	감자	100	포근한 속살이 배를 채운다.
3011	Milk	우유	100	부드러움이 스며드는 흰 액체.
3012	Chili	고추	100	혀끝을 깨우는 불씨.
3013	Rice	밥	100	모든 요리의 든든한 기반.
3014	Vegetable	채소	100	신선함이 가득한 자연의 선물.
3015	Butter	버터	100	진한 풍미를 더하는 황금빛 조각.
